Day Week Ends On,Sort County x Week,County,Count Confirmed Cases Suppressed if 1-4,Count Probable Cases Suppressed if 1-4,Count Hospitalized Cases Suppressed if 1-4,Count Deceased Cases Suppressed if 1-4
6/12/2021 12:00:00 AM,241,Allendale,<5,<5,<5,
7/10/2021 12:00:00 AM,242,Allendale,<5,<5,<5,
7/17/2021 12:00:00 AM,243,Allendale,7,<5,<5,
7/24/2021 12:00:00 AM,244,Allendale,5,8,<5,
7/31/2021 12:00:00 AM,245,Allendale,15,<5,<5,
8/7/2021 12:00:00 AM,246,Allendale,16,5,<5,<5
8/14/2021 12:00:00 AM,247,Allendale,21,<5,<5,
8/21/2021 12:00:00 AM,248,Allendale,39,11,<5,<5
8/28/2021 12:00:00 AM,249,Allendale,43,42,<5,
9/4/2021 12:00:00 AM,250,Allendale,52,<5,<5,<5
9/11/2021 12:00:00 AM,251,Allendale,43,14,<5,<5
9/18/2021 12:00:00 AM,252,Allendale,20,<5,<5,<5
9/25/2021 12:00:00 AM,253,Allendale,18,<5,<5,<5
10/2/2021 12:00:00 AM,254,Allendale,13,<5,<5,<5
10/9/2021 12:00:00 AM,255,Allendale,8,<5,<5,<5
10/16/2021 12:00:00 AM,256,Allendale,<5,<5,<5,<5
10/23/2021 12:00:00 AM,257,Allendale,<5,<5,<5,
10/30/2021 12:00:00 AM,258,Allendale,<5,<5,<5,
11/6/2021 12:00:00 AM,259,Allendale,<5,<5,<5,
11/13/2021 12:00:00 AM,260,Allendale,<5,<5,<5,
11/20/2021 12:00:00 AM,261,Allendale,<5,<5,<5,
12/4/2021 12:00:00 AM,262,Allendale,8,<5,<5,
12/11/2021 12:00:00 AM,263,Allendale,12,<5,<5,
12/18/2021 12:00:00 AM,264,Allendale,5,<5,<5,
3/14/2020 12:00:00 AM,265,Anderson,<5,<5,<5,
3/21/2020 12:00:00 AM,266,Anderson,11,<5,<5,
3/28/2020 12:00:00 AM,267,Anderson,20,<5,8,
4/4/2020 12:00:00 AM,268,Anderson,40,<5,11,<5
4/11/2020 12:00:00 AM,269,Anderson,34,<5,5,<5
4/18/2020 12:00:00 AM,270,Anderson,26,<5,<5,
4/25/2020 12:00:00 AM,271,Anderson,18,<5,<5,<5
5/2/2020 12:00:00 AM,272,Anderson,18,<5,<5,<5
5/9/2020 12:00:00 AM,273,Anderson,16,<5,<5,
5/16/2020 12:00:00 AM,274,Anderson,20,<5,<5,
5/23/2020 12:00:00 AM,275,Anderson,21,<5,5,
5/30/2020 12:00:00 AM,276,Anderson,24,<5,<5,<5
6/6/2020 12:00:00 AM,277,Anderson,43,<5,<5,<5
6/13/2020 12:00:00 AM,278,Anderson,62,<5,<5,
6/20/2020 12:00:00 AM,279,Anderson,100,<5,11,
6/27/2020 12:00:00 AM,280,Anderson,136,<5,5,<5
7/4/2020 12:00:00 AM,281,Anderson,261,<5,28,<5
7/11/2020 12:00:00 AM,282,Anderson,236,<5,29,8
7/18/2020 12:00:00 AM,283,Anderson,366,7,54,7
7/25/2020 12:00:00 AM,284,Anderson,320,31,53,14
8/1/2020 12:00:00 AM,285,Anderson,403,51,48,11
8/8/2020 12:00:00 AM,286,Anderson,292,7,35,20
8/15/2020 12:00:00 AM,287,Anderson,278,12,37,13
8/22/2020 12:00:00 AM,288,Anderson,302,5,22,20
8/29/2020 12:00:00 AM,289,Anderson,259,11,27,18
9/5/2020 12:00:00 AM,290,Anderson,234,39,16,14
9/12/2020 12:00:00 AM,291,Anderson,260,51,24,18
9/19/2020 12:00:00 AM,292,Anderson,245,27,13,13
9/26/2020 12:00:00 AM,293,Anderson,289,9,7,13
10/3/2020 12:00:00 AM,294,Anderson,216,16,16,6
10/10/2020 12:00:00 AM,295,Anderson,249,43,10,<5
10/17/2020 12:00:00 AM,296,Anderson,199,22,8,11
10/24/2020 12:00:00 AM,297,Anderson,371,30,26,7
